"Availability:","Διαθεσημότητα:"
"Quantity:","Ποσότητα:"
"You have no items to compare.","Δεν έχετε είδη για σύγκριση"
"Home","Αρχική"
"cart:","Καλάθι:"
"Categories","Κατηγορίες"
"Checkout","Ολοκλήρωση Αγορών"
"Log In","Είσοδος Χρήστη"
"All Categories","Όλες οι κατηγορίες"
"Search","Αναζήτηση"
"New Customers","Δημιουργία Πελάτη"
"Registered Customers","Είσοδοσς στο Σύστημα"
"If you have an account with us, please log in.","Άν έχετε Λογαρισμό μπορείτε να συνδεθήτε"
"Forgot Your Password?","Ξεχάσατε το Λογαριασμό σας;"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Με τη δημιουργία ενός λογαριασμού στο κατάστημά μας, θα μπορείτε να προχωρήσετε πιο γρήγορα στη διαδικασία πληρωμής, να αποθηκεύσετε πολλές διευθύνσεις αποστολής, να προβάλετε και να παρακολουθήσετε τις παραγγελίες σας στο λογαριασμό σας και πολλά άλλα."
"Personal Information","Στοιχεία Χρήστη"
"Sign Up for Newsletter","Εγγραφείτε στο Newsletter "
"Sort By","Ταξινόμηση"
"Contact Information","Πληροφορίες Επικοινωνίας"
"Contact Us","Επικοινωνία"
"There are no products matching the selection.","Δεν υπάρχουν  είδη για προβολή"
"More Categories","Περισσότερες Κατηγορίες"
"Go to list Compare","Οι συγκρίσεις μου"
"Item was successfully added to your compare","Το είδος προστέθηκε στη λίστα συγκρίσεων"
"Clear All","Εκκαθάριση"
"Compare","Σύγκριση"
"Buy %1$s for %2$s","Αγοράστε %1$s μέ %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Αγοράστε %1$s με %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Αγοράστε %1$s με %2$s το καθένα"
"and save %3$s","και κερδίστε %3$s"
"Retrieve your password here","Ανακτήστε τον κωδικό σας εδώ"
"Please enter your email address below. You will receive a link to reset your password.","Παρακαλώ εισάγετε τη διεύθυνση email σας παρακάτω. Θα λάβετε έναν σύνδεσμο για να επαναφέρετε τον κωδικό πρόσβασής σας."
"Back to Login","Είσοδος Χρήστη"
"Shop By","Φίλτρα"
"shop now","Αγορά"
"Compare Products","Λίστα Σύγκρισης"
"Checkout Progress","Πρόοδος Παραγγελίας"
"Checkout Method","Μέθοδος Ολοκλήρωσης Παραγγελίας"
"Grand Total Excl. Tax","Καθαρή Αξία"
"Grand Total Incl. Tax","Συνολική Τιμή"
"Your order has been received.","Η Παραγγελίας σας Ολοκληρώθηκε με επιτυχία."
"Search","Αναζήτηση"
"Shopping Cart is Empty","Το καλάθι σας είναι άδειο"

